trial,score,COLLISION_PENALTY,SAFE_DIST,APPROACH_WEIGHT,PPO_EPOCHS,completion_rate_last_n,mean_collisions_last_n,mean_reward_last_n,mean_form_error_last_n,mean_distance_last_n
10,-95.08,3.6942381295144475,9.455183601516811,1.4523282703659097,3,0.06,50.54,-223.3918350321102,0.0,70.8604663671099
23,-97.34,33.38229950786147,5.853751081315363,3.1040111810400774,4,0.02,49.67,-1225.3838733178238,0.0,79.7396113468409
25,-106.26,27.147844460512523,5.365236936362249,2.749103092781761,5,0.04,55.13,-871.1949850797967,0.0,87.2224051622127
19,-107.6,6.364218805705991,11.174313255168236,2.3371312550966996,3,0.01,54.3,-604.7595021252521,0.0,60.518964499345174
24,-118.18,28.39685801349114,7.0966197201022485,3.389098891245705,4,0.01,59.59,-1507.417841394674,0.0,86.09047886605636
21,-118.78,39.34164518521254,6.529728843895184,3.5253777383827583,4,0.0,59.39,-1788.8399015036955,0.0,53.033400998360264
8,-124.28,3.1710800708030815,11.748216147046733,2.5712228832001105,3,0.08,66.14,-321.96813105645555,0.0,86.61414461305452
12,-127.84,3.75208889490531,10.590606721541695,1.3794142069799906,3,0.01,64.42,-320.93408432821815,0.0,71.08218708854457
27,-130.44,29.696166391077668,6.4173490286069335,2.111484464659563,5,0.01,65.72,-1528.5499939694353,0.0,43.53383644070498
3,-136.42,8.559761026059714,7.691783671692013,2.2444566575696308,4,0.08,72.21,-552.9435653976619,0.0,84.90845140722602
22,-137.7,7.364397579478001,11.707439702285644,1.7782049238078574,3,0.0,68.85,-784.0922058244536,0.0,72.14370754459652
17,-141.08,6.980302473297544,7.448883817924005,1.206383508172506,3,0.01,71.04,-408.3561697527692,0.0,50.38884864010825
20,-141.52,14.46849725816286,11.485953065275643,3.2227725356303636,3,0.02,71.76,-1598.983988538891,0.0,68.49749278610027
1,-144.68,15.0,8.0,2.0,4,0.03,73.84,-1076.2284987446399,0.0,74.7259648862883
9,-150.92,10.198026720004902,8.671868314813441,2.3574721851720843,4,0.0,75.46,-921.6139655628831,0.0,15.384180433900767
7,-153.64,3.2714320207749132,6.202666853994352,0.8397252854260335,7,0.15,84.32,-98.72529188191758,0.0,77.38478164922886
11,-166.02,2.4646434510289255,10.174253491511248,2.623192524309652,3,0.15,90.51,-170.34339703142317,0.0,81.23083614592146
13,-176.76,3.250309761151948,11.859592934172024,2.9373722629853263,10,0.32,104.38,-191.070933909847,0.0,73.35092688035618
15,-178.82,3.957486495052567,11.494803835982319,3.9958243618646394,3,0.12,95.41,-392.7294371935315,0.0,82.47177977678808
5,-181.52,39.93853874666742,11.928764254223655,3.3787806592323597,4,0.0,90.76,-6178.695825569459,0.0,10.566082347046784
0,-196.92,2.0,5.0,2.0,10,0.18,107.46,80.19952433816879,0.0,79.66564735972227
26,-203.56,2.29824647933645,8.494353683628152,1.6964420361894095,10,0.19,111.28,-111.19389101307061,0.0,77.29194102427705
4,-205.58,43.914784200045936,10.48299221317461,2.2593114945423416,7,0.0,102.79,-6436.038394759281,0.0,6.184547716917945
6,-226.9,16.994983594132485,10.378212458604796,2.4475678454122884,10,0.02,114.45,-2557.631826093251,0.0,74.64001152508719
14,-299.18,5.067321899115957,10.904927770665807,3.468851741162758,5,0.27,163.09,-601.6949842923887,0.0,76.28005916220951
16,-299.18,8.205756992407064,10.597408620609533,0.9437746232194038,10,0.0,149.59,-1451.2727729093149,0.0,5.201657847733244
18,-440.0,4.815230201354435,9.703857880728261,0.5638512553987354,10,0.0,220.0,-965.8660903182495,0.0,7.510036247060601
2,-606.4,30.0,10.0,1.5,4,0.0,303.2,-6835.062366705533,0.0,2.9178109042899054
